model_path	num_tps	time_taken_ms	NUSMV?
53	../../../../asm_examples/stereoacuity/certifierRaff4_noundef.asm	1	[]
54	../../../../asm_examples/examples/GilbreathCardTrick/workingButNotElegant/GilbreathCardTrickWithAuxFunctionSimple.asm	1	java.lang.NullPointerException: Cannot invoke "String.trim()" because the return value of "org.asmeta.avallaxt.avalla.Check.getExpression()" is null
55	../../../../asm_examples/examples/simple_example/IncosistentUpdate.asm	1	[]
56	../../../../asm_examples/examples/RushHour/emptyCellAs0/RushHour_EmptyAs0.asm	1	[]
57	../../../../asm_examples/examples/ticTacToe/ticTacToe_simulator_with_inv.asm	1	[]
58	../../../../asm_examples/examples/agents/populationAgent.asm	1	org.asmeta.parser.TokenMgrError: Lexical error at line 125, column 23.  Encountered: '54' (54), after prefix "!"
59	../../../../asm_examples/examples/slotMachine.asm	1	[]
60	../../../../asm_examples/examples/NeedhamSchroeder/NeedhamSchroederLoweWithSpy.asm	java.lang.AssertionError: pubKeyA
61	../../../../asm_examples/examples/simple_example/MorraCinese/withActors/MorraCinese_withActors_raff2.asm	1	org.asmeta.parser.ParseException: Error: The domain of the function body must be compatible with the function codomain Natural.
       At the initialization of the function maxNumberOfPlaysInit(). Line: 323 column: 41
62	../../../../asm_examples/examples/GilbreathCardTrick/GilbreathCardTrickFasterShuffleForAsmetaSMV.asm	1	java.lang.NullPointerException: Cannot invoke "String.trim()" because the return value of "org.asmeta.avallaxt.avalla.Check.getExpression()" is null
63	../../../../asm_examples/examples/swapBoard.asm	1	[]
64	../../../../asm_examples/examples/agents/populationAgent_raff1_twoPersons.asm	1	[C:\Users\angel\Documents\codefromrepos\asmeta\asmeta\code\experimental\asmeta.evotest\asmeta.evotest.experiments\scenarios\scenario_064.avalla]
65	../../../../asm_examples/examples/GilbreathCardTrick/GilbreathCardTrickForAsmetaSMV.asm	1	java.lang.NullPointerException: Cannot invoke "String.trim()" because the return value of "org.asmeta.avallaxt.avalla.Check.getExpression()" is null
66	../../../../asm_examples/examples/fsmsemantics/meta_hooking/FSM_spec.asm	1	org.asmeta.parser.ParseException: Encountered " "=" "="" at line 93, column 32.

Was expecting:

"then" ...
     Line: 93 column: 30
67	../../../../asm_examples/examples/RushHour/emptyCellAs0/RushHourForAsmetaSMV_EmptyAs0.asm	1	[]
68	../../../../asm_examples/examples/filosofiEciliegie/filosofiEciliegieAgents.asm	1	[C:\Users\angel\Documents\codefromrepos\asmeta\asmeta\code\experimental\asmeta.evotest\asmeta.evotest.experiments\scenarios\scenario_068.avalla]
69	../../../../asm_examples/examples/dice/diceWithProbability.asm	1	[]
70	../../../../asm_examples/examples/dice/diceNoProbability.asm	1	[]
71	../../../../asm_examples/examples/darts.asm	1	[]
72	../../../../asm_examples/examples/petriNets/forAsmetaSMV/petriNet_forNuSMV_withDeadlock.asm	1	[]
73	../../../../asm_examples/examples/philosophers/philosophers1.asm	1	org.asmeta.parser.ParseException: Error reading relationalExpr  Line: 83 column: 25
74	../../../../asm_examples/examples/roulette/roulette_flat.asm	1	[]
75	../../../../asm_examples/examples/GilbreathCardTrick/workingButNotElegant/GilbreathCardTrickWithAuxFunctionSimpleForAsmetaSMV.asm	1	java.lang.NullPointerException: Cannot invoke "String.trim()" because the return value of "org.asmeta.avallaxt.avalla.Check.getExpression()" is null
76	../../../../asm_examples/examples/fsmsemantics/Sle/ASM_even.asm	1	org.asmeta.parser.ParseException: Error reading relationalExpr  Line: 61 column: 21
77	../../../../asm_examples/examples/ticTacToe/ticTacToe_simulator.asm	1	[]
78	../../../../asm_examples/examples/NeedhamSchroeder/NeedhamSchroederLowe.asm	java.lang.AssertionError: pubKeyA
79	../../../../asm_examples/examples/philosophers/philosophers3.asm	1	org.asmeta.parser.ParseException: Error reading relationalExpr  Line: 89 column: 25
80	../../../../asm_examples/examples/models/ordersystem_april2010.asm	java.lang.RuntimeException: definition of Quantity not found
81	../../../../asm_examples/examples/petriNets/forModelAdvisor/petriNet_forModelAdvisor_InconsUpdateViolation2.asm	org.asmeta.simulator.UpdateClashException: tokens(p2) updated to 0 and 3
82	../../../../asm_examples/examples/tombola.asm	1	[]
83	../../../../asm_examples/examples/petriNets/petriNetEdgeWeightNoPlaceCapacity_NoSeq_Matrix_Murata17a.asm	1	[]
84	../../../../asm_examples/stereoacuity/certifierRaff4.asm	1	[]
85	../../../../asm_examples/examples/filosofiEciliegie/filosofiEciliegieAgentsJustLeft.asm	1	[C:\Users\angel\Documents\codefromrepos\asmeta\asmeta\code\experimental\asmeta.evotest\asmeta.evotest.experiments\scenarios\scenario_085.avalla]
86	../../../../asm_examples/examples/fsmsemantics/meta_hooking/FSM_spec0.asm	1	java.lang.RuntimeException: r_run is not defined in the main asm
87	../../../../asm_examples/examples/RushHour/RushHour_flat.asm	1	[]
88	../../../../asm_examples/examples/petriNets/petriNetEdgeWeightNoPlaceCapacity_NoSeq_Matrix.asm	1	[]
89	../../../../asm_examples/examples/models/OrderSystem2.asm	org.asmeta.simulator.InvalidValueException: value out of domain: cannot assign -892320976 to orderQuantity(orders!1)
90	../../../../asm_examples/examples/Yahalom/Yahalom.asm	java.lang.AssertionError: shrkeyB
91	../../../../asm_examples/examples/simple_example/MorraCinese/MorraCineseWithAgents.asm	0
92	../../../../asm_examples/examples/petriNets/forAsmetaSMV/petriNet_forNuSMV_reversable.asm	1	[]
93	../../../../asm_examples/examples/RushHour/RushHourForAsmetaSMV.asm	1	[]
94	../../../../asm_examples/examples/models/ordersystem.asm	1	[]
95	../../../../asm_examples/examples/petriNets/petriNetEdgeWeightPlaceCapacity_NoSeq_Matrix.asm	1	[]
96	../../../../asm_examples/RTPatternLibrary/Test/Test_Sem_Async.asm	1	org.asmeta.parser.ParseException: Encountered " "=" "="" at line 232, column 20.

Was expecting:

"then" ...
     Line: 232 column: 18
97	../../../../asm_examples/examples/petriNets/forModelAdvisor/petriNet_forModelAdvisor_InconsUpdateViolation3.asm	1	[]
98	../../../../asm_examples/examples/RushHour/RushHourSimplForAsmetaSMV.asm	1	[]
99	../../../../asm_examples/examples/simple_example/swapSortOnSeq.asm	1	org.asmeta.parser.ParseException: Problems in creating Function Term (contains) Line: 47 column: 43
100	../../../../asm_examples/stereoacuity/certifierRaff4ForSMTproof.asm	1	[]
101	../../../../asm_examples/examples/simple_example/MorraCinese/MorraCinese.asm	1	[]
102	../../../../asm_examples/examples/fsmsemantics/FSM_hooking3.asm	1	org.asmeta.parser.ParseException: Problems in creating Function Term (s1) Line: 58 column: 22
103	../../../../asm_examples/examples/petriNets/petriNetEdgeWeightNoPlaceCapacity_NoSeq_Matrix_v3.asm	1	[]
104	../../../../asm_examples/examples/roulette/roulette.asm	1	[]
105	../../../../asm_examples/examples/simple_example/population_raff1_fourPersons.asm	1	org.asmeta.parser.TokenMgrError: Lexical error at line 243, column 22.  Encountered: '56' (56), after prefix "!"
106	../../../../asm_examples/examples/flashProtocol/flashProtocol_N2_L2_Q1_C.asm	1	[C:\Users\angel\Documents\codefromrepos\asmeta\asmeta\code\experimental\asmeta.evotest\asmeta.evotest.experiments\scenarios\scenario_106.avalla]
